636,475,336,306,473,0.4793701172,0.1529541016,-0.0361328125
634,443,330,298,466,0.3411865234,0.1142578125,-0.0341796875
625,435,330,301,482,0.5362548828,0.1047363281,-0.0147705078
641,492,337,311,458,0.1497802734,0.4394531250,-0.1162109375
624,455,326,306,460,0.4802246094,0.2419433594,-0.1087646484
640,446,319,307,467,0.4194335938,0.1627197266,-0.1180419922
627,455,335,289,448,0.2515869141,0.2247314453,-0.1297607422
633,477,330,295,464,0.4987792969,0.2161865234,-0.1330566406
638,444,324,302,457,0.3066406250,0.2675781250,-0.1877441406
626,463,333,316,476,0.4383544922,0.2185058594,-0.1234130859
618,460,216,137,133,0.4370117188,0.6450195312,-0.3570556641
