649,458,334,332,486,-0.0718994141,-1.0010986328,0.6558837891
643,460,365,347,497,-0.0168457031,-1.0019531250,0.6354980469
650,459,360,366,501,-0.0184326172,-0.9620361328,0.5948486328
638,471,379,350,513,0.0360107422,-1.0053710938,0.6878662109
640,475,371,362,503,0.0168457031,-0.9863281250,0.6333007812
638,469,364,356,507,0.0532226562,-0.9562988281,0.5814208984
641,470,389,405,528,0.0731201172,-0.9387207031,0.5344238281
640,468,359,382,509,0.0748291016,-0.9954833984,0.6481933594
641,451,374,388,527,0.1058349609,-0.9775390625,0.6306152344
646,452,372,391,536,0.1560058594,-0.9492187500,0.6066894531
629,452,370,384,512,0.1511230469,-0.9625244141,0.6719970703
647,466,386,393,526,0.1295166016,-0.9801025391,0.6661376953
640,456,393,406,536,0.1135253906,-0.9705810547,0.6286621094
635,449,364,373,524,0.1811523438,-0.9472656250,0.5939941406
648,458,373,404,549,0.1865234375,-0.9886474609,0.7104492188
650,455,362,401,538,0.2186279297,-0.9750976562,0.6468505859
648,475,380,410,534,0.1916503906,-0.9779052734,0.6795654297
629,460,385,425,533,0.2346191406,-0.9262695312,0.6350097656
635,456,370,360,506,0.2103271484,-0.9562988281,0.6511230469
648,439,372,357,514,0.2293701172,-0.9046630859,0.5891113281
634,447,372,369,503,0.2302246094,-0.9572753906,0.6668701172
640,451,376,374,492,0.1042480469,-1.0166015625,0.7143554688
636,455,371,371,486,0.0991210938,-1.0252685547,0.7624511719
640,461,374,373,490,0.1339111328,-0.9947509766,0.7014160156
643,447,369,395,510,0.1005859375,-1.0147705078,0.7189941406
653,449,358,353,497,0.1829833984,-0.9865722656,0.7164306641
651,473,375,349,512,0.1844482422,-0.9941406250,0.7292480469
648,460,363,374,514,0.2128906250,-0.9937744141,0.7219238281
649,470,377,377,530,0.2453613281,-0.9633789062,0.7038574219
646,473,374,366,517,0.2170410156,-0.9942626953,0.7652587891
645,436,372,381,505,0.1872558594,-1.0194091797,0.7930908203
642,452,374,374,502,0.1569824219,-1.0418701172,0.8356933594
632,453,378,386,522,0.2144775391,-1.0072021484,0.7838134766
631,463,378,378,497,0.2119140625,-1.0140380859,0.8195800781
647,472,382,359,517,0.2062988281,-1.0253906250,0.8502197266
638,451,376,380,512,0.2312011719,-1.0053710938,0.7856445312
651,468,376,380,497,0.2015380859,-1.0152587891,0.8159179688
652,448,364,368,505,0.2182617188,-1.0200195312,0.7629394531
635,466,374,368,518,0.2460937500,-0.9822998047,0.7590332031
645,452,380,370,509,0.2175292969,-1.0190429688,0.8444824219
647,469,380,369,516,0.1854248047,-1.0213623047,0.8485107422
649,471,369,370,517,0.1634521484,-1.0408935547,0.8596191406
650,450,380,364,516,0.1745605469,-1.0452880859,0.8718261719
635,451,378,376,515,0.1761474609,-1.0351562500,0.8659667969
645,475,382,383,521,0.2280273438,-1.0106201172,0.8093261719
634,462,380,384,520,0.2539062500,-0.9676513672,0.7421875000
631,491,383,388,529,0.2846679688,-0.9648437500,0.7302246094
642,465,384,406,548,0.2862548828,-0.9978027344,0.8345947266
633,481,378,379,503,0.2637939453,-0.9895019531,0.8087158203
650,461,378,374,521,0.3183593750,-0.9842529297,0.8638916016
