606,285,357,325,484,0.2868652344,-0.9465332031,0.7075195312
609,281,366,317,507,0.3321533203,-0.9448242188,0.7471923828
617,301,363,337,519,0.3218994141,-0.9232177734,0.7027587891
624,305,379,343,481,0.3066406250,-0.8991699219,0.6202392578
602,280,389,324,523,0.2701416016,-0.9344482422,0.7105712891
597,299,389,354,522,0.3112792969,-0.9318847656,0.7139892578
639,295,379,334,477,0.2814941406,-0.9302978516,0.6704101562
630,299,383,344,480,0.2760009766,-0.9390869141,0.7404785156
624,301,377,338,450,0.2597656250,-0.9500732422,0.7265625000
615,300,384,344,457,0.2669677734,-0.9459228516,0.7309570312
598,303,380,333,461,0.2497558594,-0.9593505859,0.8378906250
600,291,366,330,460,0.2430419922,-0.9865722656,0.8210449219
614,297,394,347,458,0.3018798828,-0.9619140625,0.8277587891
637,285,388,336,458,0.3386230469,-0.9665527344,0.9020996094
614,285,351,321,438,0.3624267578,-0.9700927734,0.9045410156
625,296,386,332,459,0.3283691406,-0.9707031250,0.8402099609
616,314,401,352,466,0.3392333984,-0.9591064453,0.9105224609
618,307,391,352,484,0.3336181641,-0.9678955078,0.9503173828
637,301,405,352,497,0.3885498047,-0.9458007812,0.9182128906
632,301,407,355,451,0.4075927734,-0.9498291016,0.9095458984
625,289,375,324,452,0.3632812500,-0.9741210938,0.9986572266
633,298,391,339,464,0.4611816406,-0.9149169922,0.9813232422
624,302,365,345,452,0.3442382812,-0.9718017578,0.9884033203
634,306,382,333,456,0.3371582031,-0.9699707031,0.9654541016
625,303,377,323,451,0.3662109375,-0.9564208984,0.9760742188
639,291,390,328,458,0.3529052734,-0.9761962891,0.9935302734
633,297,390,332,467,0.3631591797,-0.9737548828,1.0103759766
631,295,369,315,450,0.3520507812,-0.9653320312,0.9602050781
639,287,374,326,440,0.3016357422,-0.9807128906,0.9910888672
618,301,379,342,445,0.2646484375,-0.9755859375,1.0047607422
609,295,400,350,467,0.3867187500,-0.9578857422,0.9958496094
631,284,381,322,433,0.3563232422,-0.9436035156,1.0007324219
638,297,373,334,451,0.3409423828,-0.9720458984,0.9985351562
619,284,378,307,464,0.3812255859,-0.9627685547,1.0184326172
636,290,400,328,460,0.3804931641,-0.9479980469,1.0422363281
608,310,408,363,512,0.4055175781,-0.9493408203,0.9948730469
628,294,412,348,479,0.3815917969,-0.9488525391,1.1031494141
634,275,393,334,462,0.3342285156,-0.9611816406,0.9801025391
622,288,379,335,467,0.3619384766,-0.9735107422,1.0726318359
622,299,396,339,471,0.3786621094,-0.9587402344,1.0126953125
631,300,400,339,470,0.4472656250,-0.9465332031,1.0024414062
622,276,389,319,503,0.3187255859,-0.9549560547,0.8881835938
629,292,400,326,473,0.3623046875,-0.9587402344,0.9554443359
621,284,400,352,541,0.4528808594,-0.9228515625,0.9564208984
617,287,382,346,471,0.4346923828,-0.9130859375,0.9788818359
625,280,378,318,455,0.4001464844,-0.9451904297,0.9780273438
630,274,394,343,512,0.4311523438,-0.9321289062,0.9858398438
630,295,396,346,520,0.5161132812,-0.8991699219,0.9910888672
610,287,382,358,520,0.4151611328,-0.9335937500,0.9945068359
602,300,394,341,518,0.4265136719,-0.9229736328,1.0135498047
